Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2025-11-27,0.3,2.4,35.1,25.3,29.8,0
2025-11-28,0.3,2.4,38.5,20.7,29.8,0.2
2025-11-29,0.4,2.6,21.4,12.4,18.3,0.1
2025-11-30,0.5,2.7,19.8,9.3,15.3,0.1
2025-12-01,0.6,2.8,25,9.5,16.7,0
2025-12-02,0.6,2.8,30.7,18.1,23.5,0
2025-12-03,0.6,2.8,19,-2.2,10.4,0.8
2025-12-04,1.2,3.6,17.2,6.1,13.6,0.1
2025-12-05,1.4,3.7,20.7,15.1,18.3,0.2
2025-12-06,1.7,3.9,24.1,15.8,20.8,0.5
2025-12-07,2.1,4.4,20.7,14.2,17.2,0
2025-12-08,2.2,4.4,25.9,18.9,23.4,0.1
2025-12-09,2.2,4.5,34.2,24.4,30.4,0
2025-12-10,2.2,4.5,35.4,28.6,32.5,0.1
2025-12-11,2.3,4.6,39,31.6,35.6,0
2025-12-12,2.3,4.6,41,30.4,34.5,0
2025-12-13,2.3,4.6,39,27.3,34,0
2025-12-14,2.3,4.6,51.8,30,41,0
2025-12-15,2.2,4.6,53.2,30.9,41.4,0
2025-12-16,2.2,4.6,41.5,28,34.3,0
2025-12-17,2.2,4.6,41.2,15.4,32.2,0.2
2025-12-18,2.4,4.8,28.6,10,19.2,0.1
2025-12-19,2.4,4.9,42.8,28.6,36,0
2025-12-20,2.4,4.9,33.3,27.7,30,0.3
2025-12-21,2.6,5.2,43.7,30.6,38.1,0
2025-12-22,2.6,5.2,46,37.4,41.2,0
2025-12-23,2.6,5.2,49.5,32.2,41.2,0
2025-12-24,2.6,5.2,48.2,30,41.2,0
2025-12-25,2.6,5.2,45.1,32.9,39,0
2025-12-26,2.6,5.2,40.6,29.8,33.4,0
2025-12-27,2.6,5.2,37.6,18.9,29.1,0.2
2025-12-28,2.7,5.4,19.4,3.7,10.8,0.1
2025-12-29,2.8,5.5,31.5,16.7,25.3,0
2025-12-30,2.8,5.5,40.3,28.4,32.9,0
2025-12-31,2.8,5.5,42.4,32.7,37.6,0
2026-01-01,2.8,5.5,40.3,30.2,35.4,0
2026-01-02,2.8,5.5,35.2,27.3,30.7,0.1
2026-01-03,2.9,5.6,40.1,24.1,34,0
2026-01-04,2.9,5.6,41.4,29.5,34.9,0
2026-01-05,2.9,5.6,32.7,21.2,27.1,0.4
2026-01-06,3.2,6,26.1,19.4,23.5,0.1
2026-01-07,3.3,6.1,34.7,23.9,28,0
2026-01-08,3.3,6.1,25.5,4.8,17.4,0.3
2026-01-09,3.6,6.4,13.6,4.6,9,0
2026-01-10,3.6,6.4,25.7,11.3,20.3,0
2026-01-11,3.6,6.4,36.9,20.1,29.5,0
2026-01-12,3.6,6.4,42.4,29.7,35.1,0
2026-01-13,3.6,6.4,39,25.9,33.1,0
2026-01-14,3.5,6.4,34.9,26.1,31.1,0
2026-01-15,3.6,6.4,34.9,21,28.9,0
2026-01-16,3.6,6.4,21.7,9,12.9,0.1
2026-01-17,3.6,6.5,22.3,3.4,13.1,0
2026-01-18,3.6,6.5,30.2,10.8,21.4,0.1
2026-01-19,3.7,6.6,25.2,10,17.8,0.1
2026-01-20,3.8,6.7,30,15.1,22.8,0
2026-01-21,3.8,6.7,28.8,15.1,22.5,0
2026-01-22,3.8,6.7,31.3,20.8,25.3,0
2026-01-23,3.8,6.7,29.8,9,22.1,0.2
2026-01-24,3.9,6.9,17.4,-1.8,8.2,0.1
2026-01-25,3.9,7,6.1,-7.8,0,0.1
2026-01-26,4,7.1,19.9,0.5,13.8,0
2026-01-27,4.1,7.1,24.3,14.9,19.4,0
2026-01-28,4,7.1,31.8,15.1,23.4,0
2026-01-29,4,7.1,22.6,13.1,16.5,0
2026-01-30,4.1,7.1,26.6,11.5,20.5,0
2026-01-31,4.1,7.1,32.4,21.6,26.6,0
2026-02-01,4.1,7.1,41.9,25.2,32.5,0
2026-02-02,4,7.1,37.2,23.7,29.8,0
2026-02-03,4,7.1,27.7,18.1,22.1,0.1
2026-02-04,4.1,7.2,37,17.2,28,0
2026-02-05,4.1,7.2,48,22.5,33.8,0
2026-02-06,4.1,7.2,46,18.3,31.5,0
2026-02-07,4.1,7.2,38.7,28.8,32.7,0
2026-02-08,4.1,7.2,40.6,27.7,33.4,0
2026-02-09,4,7.2,43.5,26.6,35.6,0
2026-02-10,4,7.2,29.3,18.5,23.5,0
2026-02-11,4.1,7.2,37.4,28.2,30.6,0.1
2026-02-12,4.2,7.3,37.9,23,30.4,0
2026-02-13,4.2,7.3,38.1,20.1,28.2,0.2
2026-02-14,4.3,7.5,37.4,14.7,25.3,0
2026-02-15,4.4,7.5,42.6,12.6,33.1,0
2026-02-16,4.3,7.5,46.8,32,37.9,0
2026-02-17,4.3,7.5,36.1,16.2,23.5,0.4
2026-02-18,4.7,7.9,26.2,8.6,18.3,0.1
2026-02-19,4.7,8,11.3,1.9,7.2,0
2026-02-20,4.8,8,14.4,-7.1,6.3,0.3
2026-02-21,5,8.3,20.8,3.4,11.5,0
2026-02-22,5,8.3,36.1,9,22.6,0
2026-02-23,5,8.3,41.2,19.6,30.6,0
2026-02-24,5,8.3,43.2,29.7,35.1,0.3
2026-02-25,5.2,8.6,36.3,27.3,31.5,0.6
2026-02-26,5.8,9.2,33.3,24.4,28.4,0.2
2026-02-27,6,9.4,39.6,26.6,32,0
2026-02-28,6,9.4,43.7,27.5,33.4,0
2026-03-01,6,9.4,41,27.9,33.4,0
2026-03-02,6,9.4,46.2,24.6,36,0
2026-03-03,6,9.4,39.2,20.7,28.4,0.1
2026-03-04,6,9.5,45,19.6,30,0
2026-03-05,6,9.5,46.4,20.1,32.7,0
2026-03-06,6,9.5,27.5,7.2,19.8,1.6
2026-03-07,7.5,11.1,27,5.4,19.6,0.1
2026-03-08,7.7,11.2,47.3,22.5,34.3,0
2026-03-09,7.6,11.2,46.8,28.9,37,0
2026-03-10,7.6,11.2,47.5,19.2,36,0.2
2026-03-11,7.8,11.4,27.5,12.7,21.4,0.1
2026-03-12,8,11.5,39.7,25,32.7,0
2026-03-13,7.8,11.5,45.5,31.6,36.9,0
2026-03-14,7.8,11.5,47.7,21.9,36.1,0.3
2026-03-15,8,11.8,22.8,7.3,11.1,0.2
2026-03-16,8.3,12,30,8.8,20.7,0
2026-03-17,8.3,12,45,29.5,37.4,0
2026-03-18,8.2,12,55.6,36,45.5,0
2026-03-19,8.1,12,57.9,39.4,49.6,0
2026-03-20,7.8,12,60.8,30,46.8,0
2026-03-21,7.4,12,63.7,30.7,51.3,0
2026-03-22,6.9,12,55,28.6,42.6,0
2026-03-23,6.6,12,49.1,37.4,41.9,0
2026-03-24,6.2,12,56.5,39,47.5,0
2026-03-25,5.8,12,63.5,42.3,53.1,0
2026-03-26,5.2,12,63.1,24.1,45.3,0
2026-03-27,4.5,12,36.7,20.1,25,0
